,date,predict
529,2019/5/6,1
530,2019/5/7,1
531,2019/5/8,0
532,2019/5/9,2
533,2019/5/10,2
534,2019/5/13,0
535,2019/5/14,1
536,2019/5/15,1
537,2019/5/16,1
538,2019/5/17,1
539,2019/5/20,1
540,2019/5/21,1
541,2019/5/22,1
542,2019/5/23,1
543,2019/5/24,1
544,2019/5/27,2
545,2019/5/28,2
546,2019/5/29,2
547,2019/5/30,2
548,2019/5/31,2
549,2019/6/3,2
550,2019/6/4,2
551,2019/6/5,2
552,2019/6/6,2
553,2019/6/10,2
554,2019/6/11,2
555,2019/6/12,0
556,2019/6/13,0
557,2019/6/14,0
558,2019/6/17,1
559,2019/6/18,1
560,2019/6/19,1
561,2019/6/20,1
562,2019/6/21,1
563,2019/6/24,1
564,2019/6/25,1
565,2019/6/26,1
566,2019/6/27,1
567,2019/6/28,1
568,2019/7/1,1
569,2019/7/2,1
570,2019/7/3,1
571,2019/7/4,1
572,2019/7/5,1
573,2019/7/8,1
574,2019/7/9,1
575,2019/7/10,1
576,2019/7/11,1
577,2019/7/12,1
578,2019/7/15,1
579,2019/7/16,1
580,2019/7/17,1
581,2019/7/18,1
582,2019/7/19,1
583,2019/7/22,1
584,2019/7/23,1
585,2019/7/24,1
586,2019/7/25,1
587,2019/7/26,1
588,2019/7/29,1
589,2019/7/30,1
590,2019/7/31,1
591,2019/8/1,1
592,2019/8/2,1
593,2019/8/5,1
594,2019/8/6,1
595,2019/8/7,1
596,2019/8/8,1
597,2019/8/9,1
598,2019/8/12,1
599,2019/8/13,1
600,2019/8/14,1
601,2019/8/15,1
602,2019/8/16,1
603,2019/8/19,1
604,2019/8/20,1
605,2019/8/21,1
606,2019/8/22,1
607,2019/8/23,1
608,2019/8/26,1
609,2019/8/27,1
610,2019/8/28,1
611,2019/8/29,1
612,2019/8/30,1
613,2019/9/2,1
614,2019/9/3,1
615,2019/9/4,2
616,2019/9/5,2
617,2019/9/6,2
618,2019/9/9,1
619,2019/9/10,1
620,2019/9/11,1
621,2019/9/12,1
622,2019/9/16,1
623,2019/9/17,1
624,2019/9/18,0
625,2019/9/19,0
626,2019/9/20,1
627,2019/9/23,1
628,2019/9/24,1
629,2019/9/25,1
630,2019/9/26,1
631,2019/9/27,1
